"sec_cant","tombo","family","genus","species","name","habito_pad","altura","dap","densidade","area_basal","n_caule","multicaule","multicaule_l","rel_hd"
"2E",357,"Anacardiaceae","Spondias","mombin","Spondias mombin","Tree",21.9,99.5,0.35,0.777563817,1,0,"No",0.220100503
"2E",358,"Anacardiaceae","Spondias",NA,NA,"Tree",15.01,28.65,0.35,0.064467248,1,0,"No",0.52390925
"2F",360,"Meliaceae","Carapa","guianensis","Carapa guianensis","Tree",19.31,85.94,0.53,0.580070233,1,0,"No",0.224691645
"2F",362,"Meliaceae","Carapa","guianensis","Carapa guianensis","Tree",19.73,85.94,0.53,0.580070233,1,0,"No",0.229578776
"2F",363,"Meliaceae","Carapa","guianensis","Carapa guianensis","Tree",17.43,57.04,0.53,0.255534131,1,0,"No",0.305575035
"2F",364,"Primulaceae",NA,NA,NA,"Tree",9.01,18.27361486,0.7,0.026226408,2,1,"Yes",0.493060627
"2G",373,"Meliaceae","Carapa","guianensis","Carapa guianensis","Tree",20.7,101.86,0.53,0.814886691,1,0,"No",0.203220106
"2G",374,"Meliaceae","Carapa","guianensis","Carapa guianensis","Tree",21.15,60.99,0.53,0.292150846,1,0,"No",0.34677816
"2G",375,"Meliaceae","Carapa","guianensis","Carapa guianensis","Tree",20.03,57.3,0.53,0.257868994,1,0,"No",0.3495637
"2G",376,"Meliaceae","Carapa","guianensis","Carapa guianensis","Tree",21.51,88.49,0.53,0.615004469,1,0,"No",0.243078314
"2G",377,"Meliaceae","Carapa","guianensis","Carapa guianensis","Tree",22.04,85.94,0.53,0.580070233,1,0,"No",0.256457994
"2H",388,"Meliaceae","Carapa","guianensis","Carapa guianensis","Tree",22.08,77.03,0.53,0.466025496,1,0,"No",0.286641568
"2H",391,"Meliaceae","Carapa","guianensis","Carapa guianensis","Tree",22.67,58.41,0.53,0.267956498,1,0,"No",0.388118473
"2H",398,"Rosaceae","Prunus","padus","Prunus padus","Tree",8.52,14.39,0.46,0.016263405,1,0,"No",0.592077832
"2H",399,"Bignoniaceae","Handroanthus","ochraceus","Handroanthus ochraceus","Tree",11.05,18.3,0.76,0.026302199,1,0,"No",0.603825137
"2H",402,"Clusiaceae","Garcinia","livingstonei","Garcinia livingstonei","Tree",6,29.44,0.73,0.068071527,1,0,"No",0.203804348
"3A",408,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",29.61,71.62,0.52,0.40286405,1,0,"No",0.413432002
"3A",409,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",28.3,70.03,0.52,0.385175038,1,0,"No",0.404112523
"3A",410,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",30,70.16,0.52,0.386606403,1,0,"No",0.427594071
"3A",413,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",23.01,70.28,0.52,0.387930018,1,0,"No",0.327404667
"3A",414,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",30,75.18,0.52,0.443909587,1,0,"No",0.399042298
"3A",415,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",22.4,66.78,0.52,0.350253683,1,0,"No",0.335429769
"3A",416,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",30,75.82,0.52,0.451499674,1,0,"No",0.395673965
"3A",417,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",21.9,65.57,0.52,0.337676042,1,0,"No",0.333994205
"3A",418,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",30,75.57,0.52,0.448527139,1,0,"No",0.39698293
"3A",419,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",20.66,63.28,0.52,0.314501573,1,0,"No",0.326485461
"3A",420,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",30,76.97,0.52,0.465299788,1,0,"No",0.389762245
