"seção","canteiro","tombo","taxon","habito","altura","cap","dap","dia","mês","ano","latitude","longitude","densidade"
"1","D",196,"LEGUMINOSAE Peltophorum dubium (Spreng.) Taub.","árvore",17,183,58.25,26,4,2021,"-22.9697325255882","-43.2232133352656",0.74
"1","D",196,"LEGUMINOSAE Peltophorum dubium (Spreng.) Taub.","árvore",17,35,11.14,26,4,2021,"-22.9697325255882","-43.2232133352656",0.74
"1","D",200,"CELASTRACEAE Brexia madagascariensis (Lam.) Thouars ex Ker Gawl.","árvore",13.09,100.6,32.02,26,4,2021,"-22.9696136179629","-43.2231429074556",0.62
"1","D",201,"LEGUMINOSAE Senna hirsuta (L.) H.S.Irwin & Barneby","arbusto",10.5,59.8,19.03,26,4,2021,"-22.9696148562052","-43.2231824762037",0.6
"1","D",202,"LEGUMINOSAE Mora paraensis (Ducke) Ducke","árvore",10.66,101,32.15,26,4,2021,"-22.9696520047005","-43.2232144562343",0.88
"1","D",203,"EBENACEAE Diospyros tesselaria Poir.","árvore",7.12,66.5,21.17,26,4,2021,"-22.9696062391447","-43.2232249922365",0.68
"1","D",205,"LEGUMINOSAE Plathymenia reticulata Benth.","árvore",25.76,291,92.63,26,4,2021,"-22.9696890575653","-43.2233079946325",0.52
"1","D",207,"LEGUMINOSAE Clitoria fairchildiana R.A.Howard","árvore",21.59,123,39.15,26,4,2021,"-22.9696155969993","-43.2233130119703",0.72
"1","D",207,"LEGUMINOSAE Clitoria fairchildiana R.A.Howard","árvore",21.59,115,36.61,26,4,2021,"-22.9696155969993","-43.2233130119703",0.72
"1","D",207,"LEGUMINOSAE Clitoria fairchildiana R.A.Howard","árvore",21.59,67,21.33,26,4,2021,"-22.9696155969993","-43.2233130119703",0.72
"1","D",208,"LEGUMINOSAE Poecilanthe parviflora Benth.","árvore",7.41,34.6,11.01,26,4,2021,"-22.969654459606","-43.2233432337049",0.99
"1","D",208,"LEGUMINOSAE Poecilanthe parviflora Benth.","árvore",7.41,33.8,10.76,26,4,2021,"-22.969654459606","-43.2233432337049",0.99
"1","D",209,"APOCYNACEAE Tabernaemontana laeta Mart.","árvore",9.73,69.9,22.25,26,4,2021,"-22.969599076826","-43.2233932657695",0.53
"1","D",209,"APOCYNACEAE Tabernaemontana laeta Mart.","árvore",9.73,42.7,13.59,26,4,2021,"-22.969599076826","-43.2233932657695",0.53
"1","D",210,"LEGUMINOSAE Cassia moschata Kunth","árvore",24.99,345,109.82,26,4,2021,"-22.9695520385014","-43.2234022384585",0.71
"1","D",210,"LEGUMINOSAE Cassia moschata Kunth","árvore",24.99,66,21.01,26,4,2021,"-22.9695520385014","-43.2234022384585",0.71
"1","D",212,"LEGUMINOSAE Dalbergia assamica Benth.","árvore",18.58,224.5,71.46,26,4,2021,"-22.9695343764489","-43.2234482957817",0.79
"1","E",214,"MALVACEAE Sterculia foetida L.","árvore",21.19,259,82.44,26,4,2021,"-22.970198618936","-43.2229608757888",0.51
